Branch,Clinic,Doctor Name,Clinic Rank in Medical Center,Doctor Rank in Clinic,Section,Period,Claimed Amount,#Claimants,#Claims,ACLC (Average Claimant Cost Doctor Clinic),ACC (Average Claim Cost Doctor Clinic),ACC (Average Claim Cost Branch Clinic),Ratio ACC to Branch,ACLC (Average Claimant Cost Branch Clinic),Ratio ACLC to Branch,ACC (Average Claim Cost Medical Centers Clinic),Ratio ACC to Medical Center,ACC INDICATOR,ACLC (Average Claimant Cost Medical Centers Clinic),Ratio ACLC to Medical Center
DC,"Allergy, Asthma and Immunology",FAISAL ALMUHIZI,10,1,Consultation,202401,"9,651",,,175,169,169,1.00,175,1.00,169,1.00,Normal,175,1.00
DC,"Allergy, Asthma and Immunology",FAISAL ALMUHIZI,10,1,Lab,202401,"14,819",,,269,260,260,1.00,269,1.00,260,1.00,Normal,269,1.00
DC,"Allergy, Asthma and Immunology",FAISAL ALMUHIZI,10,1,Others,202401,"16,315",,,297,286,286,1.00,297,1.00,286,1.00,Normal,297,1.00
DC,"Allergy, Asthma and Immunology",FAISAL ALMUHIZI,10,1,PHR,202401,"38,002",,,691,667,667,1.00,691,1.00,667,1.00,Normal,691,1.00
DC,"Allergy, Asthma and Immunology",FAISAL ALMUHIZI,10,1,Radiology,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DQ,INTERNAL MEDICINE CLINIC,FOUZIA DRIDI BOUHEDJA,2,1,Total,202401,"447,910",487,510,920,878,817,1.08,981,0.94,830,1.06,High,976,0.94
DC,CARDIOLOGY,Referral Doctor,18,1,Consultation,202401,156,,,156,156,156,1.00,156,1.00,156,1.00,Normal,156,1.00
DC,CARDIOLOGY,Referral Doctor,18,1,Lab,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,244,0.00,Normal,244,0.00
DC,CARDIOLOGY,Referral Doctor,18,1,Others,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,345,0.00,Normal,345,0.00
DC,CARDIOLOGY,Referral Doctor,18,1,PHR,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,228,0.00,Normal,228,0.00
DC,CARDIOLOGY,Referral Doctor,18,1,Radiology,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,35,0.00,Normal,35,0.00
DC,GP,SARA JAMIL NASSER,2,1,Total,202401,"447,476",419,443,"1,068","1,010","1,241",0.81,"1,311",0.81,"1,201",0.84,Normal,"1,270",0.84
DC,Clinical Nutrition,SARA BIN NASBAN,16,1,Consultation,202401,"6,128",,,136,136,136,1.00,136,1.00,136,1.00,Normal,136,1.00
DC,Clinical Nutrition,SARA BIN NASBAN,16,1,Lab,202401,"1,635",,,36,36,36,1.00,36,1.00,24,1.51,High,24,1.51
DC,Clinical Nutrition,SARA BIN NASBAN,16,1,Others,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DC,Clinical Nutrition,SARA BIN NASBAN,16,1,PHR,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DC,Clinical Nutrition,SARA BIN NASBAN,16,1,Radiology,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DC,FAMILY MEDICINE,ANAS ZEIN ALAABDIN,1,1,Total,202401,"334,737",324,339,"1,033",987,907,1.09,966,1.07,870,1.14,High,930,1.11
DC,DERMATOLOGY,FATIMAH ALMUQARRAB,12,1,Consultation,202401,"16,122",,,179,175,175,1.00,179,1.00,138,1.27,High,144,1.24
DC,DERMATOLOGY,Referral Doctor,12,2,Consultation,202401,186,,,186,186,175,1.06,179,1.04,138,1.34,High,144,1.29
DC,DERMATOLOGY,FATIMAH ALMUQARRAB,12,1,Lab,202401,"11,438",,,127,124,123,1.01,126,1.01,130,0.96,Normal,135,0.94
DC,DERMATOLOGY,Referral Doctor,12,2,Lab,202401,0,,,0,0,123,0.00,126,0.00,130,0.00,Normal,135,0.00
DC,DERMATOLOGY,FATIMAH ALMUQARRAB,12,1,Others,202401,"5,874",,,65,64,63,1.01,65,1.01,69,0.92,Normal,72,0.90
DC,DERMATOLOGY,Referral Doctor,12,2,Others,202401,0,,,0,0,63,0.00,65,0.00,69,0.00,Normal,72,0.00
DC,DERMATOLOGY,FATIMAH ALMUQARRAB,12,1,PHR,202401,"18,330",,,204,199,197,1.01,201,1.01,216,0.92,Normal,225,0.90
DC,DERMATOLOGY,Referral Doctor,12,2,PHR,202401,0,,,0,0,197,0.00,201,0.00,216,0.00,Normal,225,0.00
DC,DERMATOLOGY,FATIMAH ALMUQARRAB,12,1,Radiology,202401,700,,,8,8,8,1.01,8,1.01,2,3.51,High,2,3.45
